Longitud;Latitud;Name;Nombre_PAF;Departamento;Ciudad
-68.172525;-16.49095;BCR;Alfonso Ugarte;LA PAZ;EL ALTO
-68.19506944;-16.49401944;BCR;UPEA;LA PAZ;EL ALTO
-68.20878333;-16.54871111;BCR;Delizia;LA PAZ;EL ALTO
-63.17110833;-17.77149722;BCR;BPO Center;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.07798611;-16.53995278;BCR;Ag. San Miguel 3;LA PAZ;LA PAZ
-66.20587222;-17.39387778;BCR;CNS;COCHABAMBA;COCHABAMBA
-68.13964722;-16.51507778;BCR;Tembladerani;LA PAZ;LA PAZ
-68.15073712;-16.51783775;BCR;Mirador Satelite;LA PAZ;EL ALTO
-63.17846021;-17.76016023;BCR;Hiper Norte 1;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.17844412;-17.76014235;BCR;Hiper Norte 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.28002504;-17.39431443;BCR;Plaza Bolivar;COCHABAMBA;QUILLACOLLO
-63.16598805;-17.75739713;BCR;Hot Burger;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.10500795;-17.76557298;BCR;Fidalga Cotoca;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.1828574;-17.39365182;BCR;Hipermaxi Blanco Galindo;COCHABAMBA;COCHABAMBA
-68.14315;-16.4950086;BCR;Ag. Tumusla 2;LA PAZ;LA PAZ
-67.11206491;-17.95723704;BCR;CNS Oruro;ORURO;ORURO
-68.08197871;-16.5386002;BCR;ATM Calacoto 2;LA PAZ;LA PAZ
-63.18331509;-17.8175032;BCR;Ag. Santos Dumont;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.14825609;-16.49394801;BCR;Calatayud 2;LA PAZ;LA PAZ
-68.16445283;-16.51373637;BCR;Ag. Franco Valle 2;LA PAZ;EL ALTO
-63.19997697;-17.75960142;BCR;Ag. Equipetrol Norte;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.1758888;-17.74947158;BCR;Las Brisas;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.16177726;-17.7640121;BCR;Ag. Mutualista 2;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-68.11630025;-16.47342367;BCR;Monopol LPZ;LA PAZ;LA PAZ
-63.14841953;-17.78655673;BCR;Monopol SCZ;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-63.16808674;-17.50953552;BCR;Ag. Warnes;SANTA CRUZ;WARNES
-63.14309268;-17.76765075;BCR;Grupo Roda;SANTA CRUZ;SANTA CRUZ DE LA SIERRA
-66.15038055;-17.37342414;BCR;América y Pando;COCHABAMBA;COCHABAMBA
